MolecularFormula,split,smiles,Activity(IC50),Activity(pIC50)
C26H31F2N3O3S,train,Cc1noc(C)c1S(=O)(=O)N(Cc1ccccc1)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1,670,6.173925197
C23H30F5N3O3S,train,Cc1noc(C)c1S(=O)(=O)N(CCCC(F)(F)F)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1,570,6.244125144
C17H26F2N2O2S,train,CCN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(C)(=O)=O,260,6.585026652
C22H28F2N2O2S,train,CS(=O)(=O)N(Cc1ccccc1)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1,1300,5.886056648
C18H27F2N3O,train,CN(C(=O)CCN)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1,730,6.13667714
C19H26F2N2O3,train,CN(C(=O)CCC(=O)O)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1,140,6.853871964
C18H22F2N4OS,train,CN(C(=O)c1csnn1)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1,120,6.920818754
C24H27F2N3O,train,CN(C(=O)c1c[nH]c2ccccc12)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1,110,6.958607315
C21H27F2N3O2,train,Cc1noc(C)c1C(=O)N(C)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1,140,6.853871964
C20H26F2N4O,train,Cn1ccc(C(=O)N(C)[C@H]2CC[C@H]([C@H](N)Cc3cc(F)ccc3F)CC2)n1,140,6.853871964
C18H26F2N2O,train,CCN(C(C)=O)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1,260,6.585026652
C20H27F5N2O,train,CC(=O)N(CCCC(F)(F)F)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1,100,7
C18H24F4N2,train,N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@@H](N2CCC(F)(F)C2)CC1,1000,6
